Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0.0,Tue Mar 27 18:30:07 +0000 2018,0.0,1.0,0.0,"When mother Marie mysteriously leaves the family home, the repercussions are enormous.

#ComeHome | 9pm | @BBCOne |… https://t.co/S4JgnzQlAx",0,@BBC
0.2942,Tue Mar 27 18:00:08 +0000 2018,0.0,0.872,0.128,"??? Even if you don't speak German, this is worth watching until the end! 
#LiveAtTheApollo https://t.co/J3l8oToRbk",1,@BBC
0.0,Tue Mar 27 17:00:07 +0000 2018,0.0,1.0,0.0,"? We've got oodles of noodles with recipes for pad Thai, chow mein, ramen, pho and stir-fries.
?… https://t.co/JWfrcIhn2X",2,@BBC
0.0,Tue Mar 27 16:00:15 +0000 2018,0.0,1.0,0.0,? What does Facebook know about you? https://t.co/lG4ffeCG09,3,@BBC
0.6114,Tue Mar 27 15:40:40 +0000 2018,0.0,0.75,0.25,RT @BBCTwo: Happy #WorldTheatreDay! *leaves this here and runs away* @SaraPascoe ?? https://t.co/3XlEb5gr15,4,@BBC
0.0,Tue Mar 27 15:38:26 +0000 2018,0.0,1.0,0.0,"RT @BBCScotland: Meet the master of the radiator harp

@DaftLimmy returns to BBC Scotland on Thursday 5 April. https://t.co/G7mjFEJx6k",5,@BBC
-0.3064,Tue Mar 27 15:36:22 +0000 2018,0.134,0.866,0.0,RT @bbcthree: 12-year-old Keilan has very severe curvature of the spine. He needs surgery ASAP but the 5 hour operation could leave him par…,6,@BBC
0.0,Tue Mar 27 15:33:24 +0000 2018,0.0,1.0,0.0,"RT @bbccomedy: Cathy, master of shade. #Mum https://t.co/VjC2ttkaNF",7,@BBC
0.0,Tue Mar 27 15:26:23 +0000 2018,0.0,1.0,0.0,"RT @BBCR1: (•_•)
&lt;)   )?who
 /    \ 

  (•_•)
 \(   (&gt; bit
  /    \

 (•_•)
&lt;)   )?Beyoncé? 
 /    \ 

https://t.co/7hQd9mcKUY",8,@BBC
-0.5994,Tue Mar 27 14:30:37 +0000 2018,0.14,0.86,0.0,"RT @BBCWorld: It's 50 years since the death of Yuri Gagarin, the Russian cosmonaut who was the first man to travel into space ??? https://t…",9,@BBC
0.0,Tue Mar 27 13:33:01 +0000 2018,0.0,1.0,0.0,?? The first polar bear cub to be born in the UK for 25 years has been filmed adapting to its surroundings. https://t.co/EsxbH18cN5,10,@BBC
0.0,Tue Mar 27 12:00:08 +0000 2018,0.0,1.0,0.0,The ancient Greeks thought a life of ‘constant leisure’ was the highest life you could live. https://t.co/sascCq8iks,11,@BBC
0.0,Tue Mar 27 11:05:06 +0000 2018,0.0,1.0,0.0,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
? https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI",12,@BBC
0.25,Tue Mar 27 11:00:06 +0000 2018,0.0,0.875,0.125,"? @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
?… https://t.co/pTLXfve0ds",13,@BBC
0.0,Tue Mar 27 09:52:08 +0000 2018,0.0,1.0,0.0,"?? 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

? SPOILER: it's not.  https://t.co/f5oNRItwyq",14,@BBC
0.0,Tue Mar 27 09:40:22 +0000 2018,0.0,1.0,0.0,"RT @BBCTwo: Now we've got our country back... what actually is it? ?

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…",15,@BBC
0.4019,Tue Mar 27 09:39:23 +0000 2018,0.0,0.876,0.124,RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi,16,@BBC
0.0,Tue Mar 27 09:38:59 +0000 2018,0.0,1.0,0.0,"RT @BBCR1: We can't get enough of @george_ezra's Live Lounge ?

Watch him perform 'Paradise' and cover 'These Days' right here ?https://t.c…",17,@BBC
0.5994,Tue Mar 27 09:36:48 +0000 2018,0.0,0.843,0.157,"RT @bbcgetinspired: Check out @JesseLingard and some of his @PremierLeague mates showing us their super moves. ?? 

Show us yours with #sup…",18,@BBC
0.0,Tue Mar 27 08:00:04 +0000 2018,0.0,1.0,0.0,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v",19,@BBC
0.0,Tue Mar 27 07:30:04 +0000 2018,0.0,1.0,0.0,"About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn",20,@BBC
